Genres,Name,Release Date,Rating,Platforms,Themes,Developers,Player Perspective,Game Modes,ReleaseDate,ReleaseYear,Decade,DecadeLabel,GenreCount,HasActionTheme,HasOpenWorld,HasMultiplayer,PerspectiveCategory,DataSource
"Role-playing (RPG), Adventure",The Witcher 3: Wild Hunt,2015-05-19,94.2,"PC, PlayStation 4, Xbox One, Nintendo Switch","Action, Fantasy, Open world",CD Projekt RED,Third person,Single player,2015-05-19,2015,2010,2010s,2,True,True,False,Third Person,Manual
"Role-playing (RPG), Adventure",Dark Souls,2011-09-22,89.5,"PC, PlayStation 3, Xbox 360","Action, Fantasy",FromSoftware,Third person,Single player,2011-09-22,2011,2010,2010s,2,True,False,False,Third Person,Manual
"Role-playing (RPG), Shooter",Fallout: New Vegas,2010-10-19,88.7,"PC, PlayStation 3, Xbox 360","Action, Science fiction, Open world",Obsidian Entertainment,First person,Single player,2010-10-19,2010,2010,2010s,2,True,True,False,First Person,Manual
"Role-playing (RPG), Adventure",The Elder Scrolls V: Skyrim,2011-11-11,88.1,"PC, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, Nintendo Switch","Action, Fantasy, Open world",Bethesda Game Studios,"First person, Third person",Single player,2011-11-11,2011,2010,2010s,2,True,True,False,First Person,Manual
Role-playing (RPG),Disco Elysium,2019-10-15,92.4,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S, Nintendo Switch","Drama, Mystery",ZA/UM,Isometric,Single player,2019-10-15,2019,2010,2010s,1,False,False,False,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Hack and slash, Adventure",Hades,2020-09-17,91.8,"PC, macOS, Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One","Action, Fantasy",Supergiant Games,Isometric,Single player,2020-09-17,2020,2020,2020s,3,True,False,False,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Shooter, Adventure",Mass Effect 2,2010-01-26,90.3,"PC, PlayStation 3, Xbox 360","Action, Science fiction",BioWare,Third person,Single player,2010-01-26,2010,2010,2010s,3,True,False,False,Third Person,Manual
"Role-playing (RPG), Adventure",Elden Ring,2022-02-25,93.1,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S","Action, Fantasy, Open world",FromSoftware,Third person,"Single player, Multiplayer",2022-02-25,2022,2020,2020s,2,True,True,True,Third Person,Manual
Role-playing (RPG),Baldur's Gate II: Shadows of Amn,2000-09-24,91.8,"PC, macOS, Linux",Fantasy,BioWare,Isometric,"Single player, Multiplayer",2000-09-24,2000,2000,2000s,1,False,False,True,Classic (Isometric/Bird view),Manual
Role-playing (RPG),Final Fantasy VII,1997-01-31,92.5,PlayStation,"Drama, Fantasy, Science fiction",Square,Third person,Single player,1997-01-31,1997,1990,1990s,1,False,False,False,Third Person,Manual
"Role-playing (RPG), Turn-based strategy, Adventure",Undertale,2015-09-15,88.9,"PC, macOS, Linux, PlayStation 4, PlayStation Vita, Nintendo Switch","Comedy, Fantasy",Toby Fox,Bird view,Single player,2015-09-15,2015,2010,2010s,3,False,False,False,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Simulator, Strategy, Adventure",Stardew Valley,2016-02-26,87.2,"PC, macOS, Linux, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android",,ConcernedApe,Bird view,"Single player, Multiplayer",2016-02-26,2016,2010,2010s,4,False,False,True,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Hack and slash",Diablo III,2012-05-15,78.4,"PC, macOS, PlayStation 3, PlayStation 4, Xbox 360, Xbox One, Nintendo Switch","Action, Fantasy",Blizzard Entertainment,Isometric,"Single player, Multiplayer",2012-05-15,2012,2010,2010s,2,True,False,True,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Shooter, Adventure",Cyberpunk 2077,2020-12-10,74.2,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S","Action, Science fiction, Open world",CD Projekt RED,First person,Single player,2020-12-10,2020,2020,2020s,3,True,True,False,First Person,Manual
"Role-playing (RPG), Adventure, Simulator",Kingdom Come: Deliverance,2018-02-13,81.6,"PC, PlayStation 4, Xbox One","Action, Historical",Warhorse Studios,First person,Single player,2018-02-13,2018,2010,2010s,3,True,False,False,First Person,Manual
Role-playing (RPG),Baldur's Gate 3,2023-08-03,95.2,"PC, PlayStation 5, Xbox Series X|S","Fantasy, Romance",Larian Studios,Isometric,"Single player, Multiplayer",2023-08-03,2023,2020,2020s,1,False,False,True,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Adventure",Dark Souls III,2016-04-12,89.8,"PC, PlayStation 4, Xbox One","Action, Fantasy",FromSoftware,Third person,"Single player, Multiplayer",2016-04-12,2016,2010,2010s,2,True,False,True,Third Person,Manual
Role-playing (RPG),Divinity: Original Sin 2,2017-09-14,92.1,"PC, PlayStation 4, Xbox One, Nintendo Switch, macOS",Fantasy,Larian Studios,Isometric,"Single player, Multiplayer",2017-09-14,2017,2010,2010s,1,False,False,True,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Adventure",Persona 5,2016-09-15,93.1,"PlayStation 3, PlayStation 4","Comedy, Romance",Atlus,Third person,Single player,2016-09-15,2016,2010,2010s,2,False,False,False,Third Person,Manual
Role-playing (RPG),Chrono Trigger,1995-03-11,94.8,Super Nintendo,"Fantasy, Science fiction",Square,Bird view,Single player,1995-03-11,1995,1990,1990s,1,False,False,False,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Shooter",Fallout 4,2015-11-10,84.3,"PC, PlayStation 4, Xbox One","Action, Science fiction, Open world",Bethesda Game Studios,"First person, Third person",Single player,2015-11-10,2015,2010,2010s,2,True,True,False,First Person,Manual
"Role-playing (RPG), Adventure",Dragon Age: Origins,2009-11-03,89.2,"PC, PlayStation 3, Xbox 360","Action, Fantasy",BioWare,"Third person, Isometric",Single player,2009-11-03,2009,2000,2000s,2,True,False,False,Classic (Isometric/Bird view),Manual
Role-playing (RPG),Planescape: Torment,1999-12-12,91.4,PC,Fantasy,Black Isle Studios,Isometric,Single player,1999-12-12,1999,1990,1990s,1,False,False,False,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Turn-based strategy",Fire Emblem: Three Houses,2019-07-26,88.7,Nintendo Switch,"Drama, Fantasy, Romance",Intelligent Systems,Third person,Single player,2019-07-26,2019,2010,2010s,2,False,False,False,Third Person,Manual
Role-playing (RPG),Final Fantasy VI,1994-04-02,93.2,Super Nintendo,"Drama, Fantasy",Square,Bird view,Single player,1994-04-02,1994,1990,1990s,1,False,False,False,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Hack and slash",Diablo II,2000-06-29,92.3,PC,"Action, Fantasy, Horror",Blizzard North,Isometric,"Single player, Multiplayer",2000-06-29,2000,2000,2000s,2,True,False,True,Classic (Isometric/Bird view),Manual
Role-playing (RPG),Pokemon Red/Blue,1996-02-27,89.1,Game Boy,Fantasy,Game Freak,Bird view,"Single player, Multiplayer",1996-02-27,1996,1990,1990s,1,False,False,True,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Adventure",Bloodborne,2015-03-24,91.7,PlayStation 4,"Action, Fantasy, Horror",FromSoftware,Third person,"Single player, Multiplayer",2015-03-24,2015,2010,2010s,2,True,False,True,Third Person,Manual
"Role-playing (RPG), Adventure",The Witcher 2: Assassins of Kings,2011-05-17,87.4,"PC, Xbox 360","Action, Fantasy",CD Projekt RED,Third person,Single player,2011-05-17,2011,2010,2010s,2,True,False,False,Third Person,Manual
Role-playing (RPG),Fallout 2,1998-09-30,90.1,PC,"Science fiction, Open world",Black Isle Studios,Isometric,Single player,1998-09-30,1998,1990,1990s,1,False,True,False,Classic (Isometric/Bird view),Manual
"Role-playing (RPG), Shooter, Adventure",Mass Effect,2007-11-20,87.9,"PC, Xbox 360, PlayStation 3","Action, Science fiction",BioWare,Third person,Single player,2007-11-20,2007,2000,2000s,3,True,False,False,Third Person,Manual
Role-playing (RPG),Final Fantasy X,2001-07-19,89.6,PlayStation 2,"Drama, Fantasy, Romance",Square,Third person,Single player,2001-07-19,2001,2000,2000s,1,False,False,False,Third Person,Manual
"Role-playing (RPG), Adventure",NieR: Automata,2017-02-23,88.4,"PC, PlayStation 4, Xbox One, Nintendo Switch","Action, Drama, Science fiction",PlatinumGames,Third person,Single player,2017-02-23,2017,2010,2010s,2,True,False,False,Third Person,Manual
Role-playing (RPG),Persona 4 Golden,2012-06-14,91.3,"PlayStation Vita, PC, Nintendo Switch","Comedy, Mystery, Romance",Atlus,Third person,Single player,2012-06-14,2012,2010,2010s,1,False,False,False,Third Person,Manual
"Role-playing (RPG), Point-and-click, Adventure",Torment: Tides of Numenera,2017-02-28,79.2,"PC, PlayStation 4, Xbox One","Fantasy, Science fiction",inXile Entertainment,Isometric,Single player,2017-02-28,2017,2010,2010s,3,False,False,False,Classic (Isometric/Bird view),Manual
Role-playing (RPG),Star Wars: Knights of the Old Republic,2003-07-15,90.8,"PC, Xbox, iOS, Android","Action, Science fiction",BioWare,Third person,Single player,2003-07-15,2003,2000,2000s,1,True,False,False,Third Person,Manual
"Role-playing (RPG), Strategy",Mount & Blade II: Bannerlord,2022-10-25,82.1,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S","Action, Historical, Sandbox",TaleWorlds Entertainment,"First person, Third person","Single player, Multiplayer",2022-10-25,2022,2020,2020s,2,True,False,True,First Person,Manual
Role-playing (RPG),Earthbound,1994-08-27,88.9,Super Nintendo,Comedy,Ape Inc.,Bird view,Single player,1994-08-27,1994,1990,1990s,1,False,False,False,Classic (Isometric/Bird view),Manual
