Genre(s),Name,Release Date,Rating ,Platform(s),Theme(s),Developer(s),Player Perspective,Game Mode(s)
"Strategy, Indie, Card & Board Game",Slay the Spire II,2026/3/4,9.8,"Linux, Mac, PC (Microsoft Windows)",Fantasy,Mega Crit Games,Side view,"Single player,Multiplayer, Co-operative"
"Shooter, Role-playing (RPG), Adventure, Indie, Arcade",The Binding of Isaac: Repentance,2021/3/30,9.4,"PC (Microsoft Windows), PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S","Action, Fantasy, Horror, Comedy",Edmund McMillen,Bird view / Isometric,"Single player,Multiplayer, Co-operative"
"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",Hades,2020/9/16,8.9,"iOS, Mac, Nintendo Switch, PC (Microsoft Windows), PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S","Action, Fantasy, Drama",Supergiant Games,Bird view / Isometric,Single player
"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Adventure, Indie",Darkest Dungeon II,2023/5/7,8.7,"Mac, Nintendo Switch, PC (Microsoft Windows), PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S","Fantasy,Horror,Historical,Mystery",Red Hook Studios,Side view,Single player
"Platform, Adventure, Indie",Spelunky,2012/7/3,8.7,"Nintendo Switch, PC (Microsoft Windows), PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360","Action,Fantasy,Survival","BlitWorks,Mossmouth",Side view,"Single player, Multiplayer ,Co-operative"
"Simulator, Strategy, Turn-based strategy (TBS), Indie",Gnomoria,2016/2/22,8.7,"Linux, Mac, PC (Microsoft Windows)","Fantasy,Survival,Sandbox",Robotronic Games,Bird view / Isometric,Single player
"Puzzle, Role-playing (RPG), Strategy, Adventure, Indie, Arcade",Peglin,2024/8/26,8.6,"Android, iOS, Mac, Nintendo Switch, PC (Microsoft Windows), PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Fantasy,Red Nexus Games Inc.,Side view,Single player
"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie",Slice & Dice,2021/7/12,8.5,"Android, iOS, Mac, PC (Microsoft Windows)",Fantasy,tann,Third Person,Single player
"Role-playing (RPG), Hack and slash/Beat 'em up",Diablo II: Lord of Destruction,2001/6/26,8.9,"Mac, PC (Microsoft Windows) Expansion Diablo II","Action,Fantasy,Horror",Blizzard North,Bird view / Isometric,"Single player,Multiplayer, Co-operative"
"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",Ravenswatch,2024/9/25,8.9,"Nintendo Switch, PC (Microsoft Windows), PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Action,Passtech Games,Bird view / Isometric,"Single player, Multiplayer ,Co-operative"
"Role-playing (RPG), Adventure, Indie",Lost in Random: The Eternal Die,,8.8,"Nintendo Switch, PC (Microsoft Windows), PlayStation 5, Xbox Series X|S","Action,Fantasy",Thunderful Publishing Stormteller Games,Bird view / Isometric,Single player
