title,steam_url,tags,description
Unknown,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"Gore, Blood, Violent, Mature",No description
Unknown,https://store.steampowered.com/app/3764200/Resident_Evil_Requiem/?snr=1_7_7_240_150_1,,No description
Unknown,https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_240_150_1,,No description
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_240_150_1,"Tactical, Realistic, FPS, Shooter, Multiplayer, Co-op, Singleplayer, Horror, First-Person, Action, Psychological Horror, Violent, Gun Customization, Combat, Crime, Gore, Modern, Atmospheric, Co-op Campaign, America","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations."
Once Human,https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_240_150_1,"Free to Play, Survival, Multiplayer, Open World Survival Craft, Co-op, Open World, Base Building, Adventure, Post-apocalyptic, Massively Multiplayer, Horror, Third Person, Online Co-Op, PvP, Shooter, Singleplayer, RPG, Action-Adventure, Simulation, MMORPG","Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world."
Unknown,https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty/?snr=1_7_7_240_150_1,,No description
R.E.P.O.,https://store.steampowered.com/app/3241660/REPO/?snr=1_7_7_240_150_1,"Horror, Online Co-Op, Multiplayer, Comedy, Co-op, Physics, First-Person, 3D, Stealth, Survival, Robots, Action, Exploration, Funny, Procedural Generation, Action Roguelike, Post-apocalyptic, Sci-fi, Perma Death, Early Access","An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires."
Unknown,https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection/?snr=1_7_7_240_150_1,,No description
The Isle,https://store.steampowered.com/app/376210/The_Isle/?snr=1_7_7_240_150_1,"Dinosaurs, Survival, Open World, Multiplayer, Simulation, Hunting, Realistic, Massively Multiplayer, Adventure, Early Access, Horror, Action, Third Person, Co-op, Sandbox, Walking Simulator, RPG, Strategy, Team-Based, Indie",Experience fierce open world survival gameplay as you attempt to stay alive on an unforgiving island inhabited by dinosaurs! Hunt. Grow. Survive.
Phasmophobia,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_240_150_1,"Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, VR, Supernatural, First-Person, Investigation, Dark, Detective, Demons, Mystery, Thriller, 3D, Early Access, Indie, Action, Tactical, Singleplayer",Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.
Unknown,https://store.steampowered.com/app/3280350/DEATH_STRANDING_2_ON_THE_BEACH/?snr=1_7_7_240_150_1,,No description
PEAK,https://store.steampowered.com/app/3527290/PEAK/?snr=1_7_7_240_150_1,"Multiplayer, Online Co-Op, Co-op, Physics, Exploration, Adventure, First-Person, Comedy, 3D, Procedural Generation, Atmospheric, Action Roguelike, Action, Time Management, Character Customization, Horror, Platformer, Mystery, Investigation, Survival Horror","PEAK is a co-op climbing game where the slightest mistake can spell your doom. Either solo or as a group of lost nature scouts, your only hope of rescue from a mysterious island is to scale the mountain at its center. Do you have what it takes to reach the PEAK?"
Unknown,https://store.steampowered.com/app/2947440/SILENT_HILL_f/?snr=1_7_7_240_150_1,,No description
Mewgenics,https://store.steampowered.com/app/686060/Mewgenics/?snr=1_7_7_240_150_1,"Turn-Based Tactics, Roguelite, Dark Humor, Turn-Based Strategy, Cats, Turn-Based Combat, RPG, Funny, Cute, 2D, Comic Book, Horror, Cartoony, Surreal, Post-apocalyptic, Choices Matter, Nonlinear, Tactical, Magic, Great Soundtrack","Build the ultimate cat army through tactical breeding and send them into deep, challenging turn-based adventures. Draft abilities, collect items, and manipulate genetics across generations in this roguelike tactics game from the creators of The Binding of Isaac and The End is Nigh."
"Warhammer 40,000: Darktide",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_240_150_1,"Horror, Team-Based, Combat, Co-op, Warhammer 40K, FPS, PvE, Class-Based, Hack and Slash, Shooter, Zombies, First-Person, Character Customization, Dark, Action-Adventure, Action, Narration, Dark Fantasy, Realistic, Atmospheric","Take back the city of Tertium from hordes of bloodthirsty foes in this intense and brutal action shooter. Warhammer 40,000: Darktide is the new co-op focused experience from the award-winning team behind the Vermintide series. As Tertium falls, Rejects Will Rise."
Resident Evil 4,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_240_150_1,"Horror, Action, Third-Person Shooter, Survival Horror, Singleplayer, Zombies, Story Rich, Survival, Remake, Dark, Cinematic, VR, Realistic, Gore, Third Person, Resource Management, Adventure, Action-Adventure, Violent, Psychological Horror","Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals."
Sons Of The Forest,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_240_150_1,"Survival, Open World, Multiplayer, Co-op, Survival Horror, Base Building, Horror, Crafting, Building, First-Person, Exploration, Adventure, Singleplayer, Atmospheric, Sandbox, Action-Adventure, Action, Simulation, Immersive Sim, VR","Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator."
The Binding of Isaac: Rebirth,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_240_150_1,"Action Roguelike, Roguelike, Indie, Replay Value, Difficult, Pixel Graphics, Dungeon Crawler, Great Soundtrack, Singleplayer, Dark, 2D, Local Co-Op, Gore, Remake, Procedural Generation, Roguelite, Atmospheric, Co-op, Action, Horror","The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
Grounded,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_240_150_1,"Survival, Multiplayer, Co-op, Open World Survival Craft, Base Building, Crafting, Adventure, Open World, Horror, Online Co-Op, Exploration, Action, Sandbox, First-Person, Singleplayer, RPG, Third Person, Cute, Funny, Early Access","The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?"
The Outlast Trials,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_240_150_1,"Horror, Multiplayer, Co-op, Survival Horror, Psychological Horror, First-Person, PvE, Stealth, Character Customization, Action, Survival, Action-Adventure, Dark Humor, Dark, Realistic, Atmospheric, Alternate History, Science, Adventure, Gore","Red Barrels invites you to experience mind-numbing terror, this time with friends. Whether you go through the trials alone or in teams, if you survive long enough and complete the therapy, Murkoff will happily let you leave… but will you be the same?"
Path of Exile 2,https://store.steampowered.com/app/2694490/Path_of_Exile_2/?snr=1_7_7_240_150_1,"Action RPG, Hack and Slash, RPG, Isometric, Loot, MMORPG, Dark Fantasy, Souls-like, Action, Dungeon Crawler, Adventure, Multiplayer, Online Co-Op, Character Customization, Early Access, Inventory Management, Crafting, Dark, Horror, Singleplayer","Path of Exile 2 is a next generation Action RPG from Grinding Gear Games, featuring co-op for up to six players. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading."
Unknown,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_240_150_1,,No description
