Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments,EarningsPerPlayer,EarningsPerTournament,ReleaseDecade,Tier,HistoricalTotalEarnings,HistoricalTotalPlayers,HistoricalTotalTournaments,FirstRecordedYear,LastRecordedYear,YearsActiveInData,EarningsDifference,AuditFlag,ProfessionalizationScore,InequalityFlag
Age of Empires,1997,Strategy,736284.75,522378.17,0.70947845925099,624.0,341.0,1179.9435096153845,2159.192815249267,1990,Tier 4 Smaller Scene,736284.75,2957.0,341.0,1998.0,2024.0,27.0,0.0,Close match,0.9187968514861709,Middle range
Age of Empires II,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256.0,1939.0,1728.0623803191488,2010.5769623517276,1990,Tier 3 Mid-Level,3899608.73,8812.0,1951.0,2000.0,2024.0,25.0,-1100.0,Close match,0.966596700667248,Middle range
Age of Empires III,2005,Strategy,122256.72,44472.6,0.363764053215234,172.0,179.0,710.7948837209302,682.9984357541899,2000,Tier 4 Smaller Scene,122256.72,576.0,179.0,2006.0,2024.0,19.0,0.0,Close match,0.8350400037689112,Middle range
Age of Empires IV,2021,Strategy,1190813.44,439117.93,0.368754596857758,643.0,423.0,1851.9649144634525,2815.1617966903073,2020,Tier 3 Mid-Level,1190813.44,1954.0,423.0,2021.0,2024.0,4.0,0.0,Close match,0.8573097771342946,Middle range
Age of Empires Online,2011,Strategy,11462.98,775.0,0.0676089463647324,52.0,68.0,220.44192307692308,168.57323529411764,2010,Tier 4 Smaller Scene,11462.98,174.0,68.0,2011.0,2024.0,14.0,0.0,Close match,0.6817356276591696,Middle range
Age of Mythology,2002,Strategy,188619.58,86723.77,0.459781375825352,236.0,298.0,799.2355084745762,632.951610738255,2000,Tier 4 Smaller Scene,188619.58000000002,826.0,298.0,2003.0,2024.0,22.0,-2.9103830456733704e-11,Close match,0.8617655400868958,Middle range
Among Us,2018,Strategy,86000.0,0.0,0.0,14.0,8.0,6142.857142857143,10750.0,2010,Tier 4 Smaller Scene,86000.0,22.0,8.0,2020.0,2021.0,2.0,0.0,Close match,0.4954590796977033,Middle range
Auto Chess,2019,Strategy,1163720.28,1038222.28,0.892157933348038,133.0,52.0,8749.776541353383,22379.236153846156,2010,Tier 3 Mid-Level,1163720.28,182.0,52.0,2019.0,2022.0,4.0,0.0,Close match,0.7714043223744024,Middle range
Brawl Stars,2018,Strategy,8141511.8,3848208.14,0.472665057121209,698.0,207.0,11664.057020057306,39330.974879227055,2010,Tier 3 Mid-Level,8141511.8,3502.0,207.0,2019.0,2024.0,6.0,0.0,Close match,0.9032979885575676,Middle range
Chess.com,2007,Strategy,8609043.36,853000.02,0.0990818589627826,1158.0,779.0,7434.407046632124,11051.403543003851,2000,Tier 3 Mid-Level,8609043.36,4620.0,779.0,2012.0,2024.0,13.0,0.0,Close match,0.9532529119337954,Middle range
