Genre,Games,TotalEarnings,AverageEarningsPerPlayer,AverageEarningsPerTournament
Battle Royale,17,390379254.68,7177.072297090542,71384.46750637668
Collectible Card Game,17,51485118.35,5185.813429157686,29258.302427750183
Fighting Game,189,39733007.09,1040.8363890143498,2934.0790626184025
First-Person Shooter,138,483596197.62,6619.216136520792,32726.174704360823
Multiplayer Online Battle Arena,29,643829101.5,8179.302811960401,55942.88136886424
Music / Rhythm Game,9,323034.89,750.2427486384144,2581.6070340858787
Puzzle Game,17,476062.65,514.6519149148661,1285.3901969661695
Racing,66,18528690.7,5656.3222391035715,34893.280357963915
Role-Playing Game,10,15277937.029999997,6640.887703019927,53817.474035136554
Sports,98,106413829.39,14818.59466865508,69641.14417007403
Strategy,68,135819161.57,5031.604303208663,20204.753576661624
Third-Person Shooter,11,6105826.38,4439.284138237249,16338.65466108453
