Year,YearlyEarnings,YearlyPlayers,YearlyTournaments,CumulativeEarnings
1998,153800.0,68,11,153800.0
1999,285319.12,81,16,439119.12
2000,769783.48,350,65,1208902.6
2001,940232.48,590,65,2149135.08
2002,1042499.9400000001,828,91,3191635.02
2003,1952859.32,1609,206,5144494.34
2004,3081179.75,2627,304,8225674.09
2005,4418475.24,3017,386,12644149.33
2006,5787327.66,4017,451,18431476.990000002
2007,7628095.3100000005,4757,586,26059572.300000004
2008,7699172.64,4832,575,33758744.940000005
2009,4261910.45,5031,683,38020655.39000001
2010,6397081.61,6329,1015,44417737.00000001
2011,10731171.89,7718,1714,55148908.89000001
2012,14690420.27,10974,2047,69839329.16000001
2013,23002031.94,13497,2361,92841361.10000001
2014,38344018.95,18116,3192,131185380.05000001
2015,68317634.84,31203,5322,199503014.89000002
2016,100894301.32,34968,4945,300397316.21000004
2017,121623257.42,41428,5162,422020573.63000005
2018,174125620.16,49681,5132,596146193.7900001
2019,258073465.09,64744,6425,854219658.8800001
2020,152615009.17,67344,6225,1006834668.0500001
2021,261756913.35,75721,6479,1268591581.4
2022,260194962.94,73228,6093,1528786544.3400002
2023,232250302.87,66701,5016,1761036847.21
2024,146261415.21,40496,2654,1907298262.42
