Game,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,EarningsPerPlayer,EarningsPerTournament,Tier,RegionPopularity,Notes
StarCraft: Remastered,2017,Strategy,5860787.7,413,829,14190.769249394674,7069.707720144753,Tier 3 (Emerging),South Korea/Global,Long-running competitive scene
Command & Conquer: Red Alert,1996,Strategy,15000.0,8,1,1875.0,15000.0,Tier 3 (Emerging),Global,Established esports title
Age of Empires Online,2011,Strategy,11462.98,52,68,220.44192307692308,168.57323529411764,Tier 3 (Emerging),Global,Established esports title
Chess.com,2007,Strategy,8609043.36,1158,779,7434.407046632124,11051.403543003851,Tier 3 (Emerging),Global,Long-running competitive scene
Identity V,2018,Strategy,5796530.92,375,29,15457.415786666666,199880.37655172413,Tier 3 (Emerging),Global,Established esports title
Sea of Thieves,2016,Strategy,100000.0,67,4,1492.5373134328358,25000.0,Tier 3 (Emerging),Global,Established esports title
Paladins,2015,First-Person Shooter,2490507.6,571,79,4361.659544658494,31525.412658227848,Tier 3 (Emerging),Global,Established esports title
Reflex,2015,First-Person Shooter,2458.37,24,9,102.43208333333332,273.15222222222224,Tier 3 (Emerging),Global,Established esports title
Battlefield V,2018,First-Person Shooter,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Call of Duty: Black Ops 4,2018,First-Person Shooter,6734938.95,389,82,17313.467737789204,82133.40182926829,Tier 3 (Emerging),North America,Established esports title
Enemy Territory: Quake Wars,2007,First-Person Shooter,60923.12,27,4,2256.411851851852,15230.78,Tier 3 (Emerging),Global,Established esports title
Evolve,2015,First-Person Shooter,131509.05,110,33,1195.536818181818,3985.122727272727,Tier 3 (Emerging),Global,Established esports title
Teeworlds,2007,Multiplayer Online Battle Arena,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
League of Legends: Wild Rift,2021,Multiplayer Online Battle Arena,11193427.98,1473,117,7599.068553971487,95670.32461538461,Tier 2 (Established),Global,Established esports title
Heroes of Newerth,2010,Multiplayer Online Battle Arena,3073445.72,820,395,3748.104536585366,7780.87524050633,Tier 3 (Emerging),Global,Established esports title
Pokemon Unite,2021,Multiplayer Online Battle Arena,2802324.2,850,61,3296.8520000000003,45939.74098360656,Tier 3 (Emerging),Global,Established esports title
Dofus,2004,Multiplayer Online Battle Arena,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Dota 2,2013,Multiplayer Online Battle Arena,360461163.42,4980,1934,72381.75972289157,186381.15998965874,Tier 1 (Elite),Global,One of the most dominant esports by prize money
Tibia,1997,Role-Playing Game,952.94,1,1,952.94,952.94,Tier 3 (Emerging),Global,Established esports title
Cave Digger 2,2021,Role-Playing Game,750.0,4,1,187.5,750.0,Tier 3 (Emerging),Global,Established esports title
Old School Runescape,2013,Role-Playing Game,457504.2,84,26,5446.478571428572,17596.315384615384,Tier 3 (Emerging),Global,Established esports title
Blade & Soul,2012,Role-Playing Game,679006.26,89,7,7629.283820224719,97000.89428571428,Tier 3 (Emerging),Global,Established esports title
Stardew Valley,2016,Role-Playing Game,97850.0,69,3,1418.1159420289855,32616.666666666668,Tier 3 (Emerging),Global,Established esports title
Chivalry 2,2021,Role-Playing Game,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Virtua Fighter 5,2007,Fighting Game,39830.0,14,7,2845.0,5690.0,Tier 3 (Emerging),Global,Established esports title
Tekken 8,2024,Fighting Game,1506651.86,208,40,7243.518557692309,37666.296500000004,Tier 3 (Emerging),Global,Established esports title
Brawlout,2017,Fighting Game,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
BlazBlue: Cross Tag Battle,2018,Fighting Game,98682.7,133,43,741.9751879699248,2294.946511627907,Tier 3 (Emerging),Global,Established esports title
King of Fighters 2002 Unlimited Match,2009,Fighting Game,760.0,6,2,126.66666666666667,380.0,Tier 3 (Emerging),Global,Established esports title
Project M,2010,Fighting Game,205292.09,560,335,366.59301785714285,612.8122089552239,Tier 3 (Emerging),Global,Established esports title
TrackMania 2: Canyon,2011,Racing,24093.35,26,39,926.6673076923076,617.7782051282051,Tier 3 (Emerging),Global,Established esports title
Trials Fusion,2014,Racing,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Asphalt 4,2008,Racing,29500.0,5,2,5900.0,14750.0,Tier 3 (Emerging),Global,Established esports title
Project Gotham Racing 3,2005,Racing,297286.85,33,10,9008.692424242423,29728.684999999998,Tier 3 (Emerging),Global,Established esports title
Epic Roller Coasters VR,2018,Racing,1000.0,3,1,333.3333333333333,1000.0,Tier 3 (Emerging),Global,Established esports title
Turbo Racing League,2013,Racing,1000000.0,16,9,62500.0,111111.11111111111,Tier 3 (Emerging),Global,Established esports title
NBA 2K22,2021,Sports,2650000.0,92,7,28804.347826086956,378571.4285714286,Tier 3 (Emerging),Global,Established esports title
Madden NFL 07,2006,Sports,100000.0,1,1,100000.0,100000.0,Tier 3 (Emerging),Global,High average earnings per player
Soccer Stars,2018,Sports,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
FIFA 14,2013,Sports,96347.81,57,69,1690.3124561403508,1396.345072463768,Tier 3 (Emerging),Europe/Global,Established esports title
Pro Evolution Soccer 2018,2017,Sports,250000.0,20,3,12500.0,83333.33333333333,Tier 3 (Emerging),Global,Established esports title
Pro Evolution Soccer 3,2003,Sports,25000.0,8,2,3125.0,12500.0,Tier 3 (Emerging),Global,Established esports title
Artifact Classic,2018,Collectible Card Game,120567.26,286,192,421.56384615384616,627.9544791666666,Tier 3 (Emerging),Global,Established esports title
Artifact Foundry,2020,Collectible Card Game,1174.5,21,12,55.92857142857143,97.875,Tier 3 (Emerging),Global,Established esports title
Hearthstone,2014,Collectible Card Game,30708754.65,3147,1162,9758.104432793136,26427.499698795178,Tier 2 (Established),Global,Long-running competitive scene
The Elder Scrolls: Legends,2017,Collectible Card Game,5000.0,3,1,1666.6666666666667,5000.0,Tier 3 (Emerging),Global,Established esports title
Mythgard,2019,Collectible Card Game,3000.0,9,3,333.3333333333333,1000.0,Tier 3 (Emerging),Global,Established esports title
Shardbound,2017,Collectible Card Game,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Catherine,2011,Puzzle Game,1545.0,11,7,140.45454545454547,220.71428571428572,Tier 3 (Emerging),Global,Established esports title
Catherine: Full Body,2019,Puzzle Game,185.0,3,1,61.666666666666664,185.0,Tier 3 (Emerging),Global,Established esports title
Microsoft Excel,1985,Puzzle Game,114400.0,86,43,1330.2325581395348,2660.4651162790697,Tier 3 (Emerging),Global,Established esports title
Twinkle Star Sprites,1996,Puzzle Game,150.0,4,2,37.5,75.0,Tier 3 (Emerging),Global,Established esports title
Tetr.io,2020,Puzzle Game,18698.3,39,18,479.4435897435897,1038.7944444444445,Tier 3 (Emerging),Global,Established esports title
Tetris Ultimate,2014,Puzzle Game,221.0,3,1,73.66666666666667,221.0,Tier 3 (Emerging),Global,Established esports title
Apex Legends,2019,Battle Royale,26153237.01,2317,731,11287.5429477773,35777.34201094392,Tier 2 (Established),Global,Long-running competitive scene
Apex Legends Mobile,2022,Battle Royale,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Fortnite,2017,Battle Royale,191012698.69,9535,2291,20032.794828526483,83375.25041030117,Tier 1 (Elite),Global,One of the most dominant esports by prize money
Spellbreak,2020,Battle Royale,50000.0,42,1,1190.4761904761904,50000.0,Tier 3 (Emerging),Global,Established esports title
Radical Heights,2018,Battle Royale,120000.0,12,2,10000.0,60000.0,Tier 3 (Emerging),Global,Established esports title
Rules Of Survival,2017,Battle Royale,656000.0,0,4,0.0,164000.0,Tier 3 (Emerging),Global,Established esports title
Gears of War: Ultimate Edition,2015,Third-Person Shooter,170000.0,39,3,4358.974358974359,56666.666666666664,Tier 3 (Emerging),Global,Established esports title
Gears 5,2019,Third-Person Shooter,2320920.0,163,112,14238.773006134968,20722.5,Tier 3 (Emerging),Global,Established esports title
Rogue Company,2020,Third-Person Shooter,50000.0,48,2,1041.6666666666667,25000.0,Tier 3 (Emerging),Global,Established esports title
The Division 2,2019,Third-Person Shooter,27250.0,40,2,681.25,13625.0,Tier 3 (Emerging),Global,Established esports title
Gears of War 2,2008,Third-Person Shooter,135000.0,0,5,0.0,27000.0,Tier 3 (Emerging),Global,Established esports title
Gears of War,2006,Third-Person Shooter,252195.57,33,18,7642.29,14010.865,Tier 3 (Emerging),Global,Established esports title
osu!,2007,Music / Rhythm Game,274092.83,1059,251,258.822313503305,1092.0033067729084,Tier 3 (Emerging),Global,Established esports title
Beat Saber,2019,Music / Rhythm Game,16692.06,63,11,264.9533333333334,1517.46,Tier 3 (Emerging),Global,Established esports title
Guitar Hero: World Tour,2008,Music / Rhythm Game,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Audio Trip,2020,Music / Rhythm Game,650.0,4,2,162.5,325.0,Tier 3 (Emerging),Global,Established esports title
Synth Riders,2018,Music / Rhythm Game,2100.0,11,7,190.9090909090909,300.0,Tier 3 (Emerging),Global,Established esports title
Groove Gunner,2020,Music / Rhythm Game,0.0,0,0,0.0,0.0,Tier 3 (Emerging),Global,Established esports title
Counter-Strike: Source,2004,First-Person Shooter,3113222.29,1502,331,2072.7179027962716,9405.505407854986,Tier 3 (Emerging),Europe/Global,Established esports title
FIFA 12,2011,Sports,57931.52,59,67,981.8901694915254,864.6495522388059,Tier 3 (Emerging),Europe/Global,Established esports title
Halo Infinite,2021,First-Person Shooter,7003555.03,275,58,25467.47283636364,120750.94879310345,Tier 3 (Emerging),North America,Established esports title
