Game,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,RegionPopularity,CompetitiveLevel,Notes
StarCraft: Remastered,2017,Strategy,5860787.7,413,829,South Korea/Global,High,Established esports title
Command & Conquer: Red Alert,1996,Strategy,15000.0,8,1,Global,Low,Established esports title
Age of Empires Online,2011,Strategy,11462.98,52,68,Global,Low,Established esports title
Chess.com,2007,Strategy,8609043.36,1158,779,Global,High,Established esports title
Identity V,2018,Strategy,5796530.92,375,29,Global,Medium,Established esports title
Sea of Thieves,2016,Strategy,100000.0,67,4,Global,Low,Established esports title
Black Squad,2017,First-Person Shooter,8480.72,57,17,Global,Low,Established esports title
Battlefield 3,2011,First-Person Shooter,25407.46,5,7,Global,Low,Established esports title
Special Force,2004,First-Person Shooter,130250.0,0,3,Global,Low,Established esports title
Halo: Combat Evolved,2001,First-Person Shooter,299281.0,118,39,North America,Low,Established esports title
EV.IO,2021,First-Person Shooter,20000.0,27,2,Global,Low,Established esports title
Counter-Strike 2,2023,First-Person Shooter,21155138.09,2731,424,Europe/Global,High,Very large esports prize pool history
Heroes of Newerth,2010,Multiplayer Online Battle Arena,3073445.72,820,395,Global,Medium,Established esports title
League of Legends,2009,Multiplayer Online Battle Arena,113596024.63,9588,3000,Global,High,Very large esports prize pool history
MOBA Legends,2016,Multiplayer Online Battle Arena,225.0,3,1,Global,Low,Established esports title
Minecraft,2011,Multiplayer Online Battle Arena,3008059.15,613,142,Global,Medium,Established esports title
Deadlock,2024,Multiplayer Online Battle Arena,12610.0,27,4,Global,Low,Established esports title
Defense of the Ancients,2003,Multiplayer Online Battle Arena,918125.6,504,105,Global,Low,Established esports title
Old School Runescape,2013,Role-Playing Game,457504.2,84,26,Global,Low,Established esports title
Cave Digger 2,2021,Role-Playing Game,750.0,4,1,Global,Low,Established esports title
World of WarCraft,2004,Role-Playing Game,9150537.61,503,225,Global,Medium,Established esports title
Naraka: Bladepoint,2021,Role-Playing Game,4357330.52,177,14,Global,Medium,Established esports title
Blade & Soul,2012,Role-Playing Game,679006.26,89,7,Global,Low,Established esports title
Tibia,1997,Role-Playing Game,952.94,1,1,Global,Low,Established esports title
Marvel vs. Capcom 3,2011,Fighting Game,22343.62,38,12,Global,Low,Established esports title
King of Fighters XIV,2016,Fighting Game,83801.59,95,41,Global,Low,Established esports title
Super Street Fighter II Turbo,1994,Fighting Game,28227.29,126,55,Global,Low,Established esports title
Injustice 2,2017,Fighting Game,837447.16,81,38,Global,Low,Established esports title
King of Fighters XI,2005,Fighting Game,25.0,3,1,Global,Low,Established esports title
Dead or Alive Ultimate,2004,Fighting Game,30000.0,3,1,Global,Low,Established esports title
Epic Roller Coasters VR,2018,Racing,1000.0,3,1,Global,Low,Established esports title
Mario Kart 8 Deluxe,2017,Racing,14654.44,55,10,Global,Low,Established esports title
F1 2018,2018,Racing,200000.0,21,1,Global,Low,Established esports title
Jak II,2003,Racing,0.0,14,1,Global,Low,Established esports title
F1 2020,2020,Racing,752235.0,42,3,Global,Low,Established esports title
Need for Speed: Underground,2003,Racing,35000.0,3,1,Global,Low,Established esports title
NHL 19,2018,Sports,22566.67,10,8,Global,Low,Established esports title
Pro Evolution Soccer 2018,2017,Sports,250000.0,20,3,Global,Low,Established esports title
EA Sports FC Online,2023,Sports,713675.79,96,11,Global,Low,Established esports title
NBA 2K20,2019,Sports,250000.0,1,1,Global,Low,Established esports title
FIFA Online 3,2012,Sports,1937542.85,124,25,Europe/Global,Medium,Established esports title
Madden NFL 22,2021,Sports,1650000.0,37,4,Global,Medium,Established esports title
Legends of Runeterra,2020,Collectible Card Game,718091.03,284,33,Global,Low,Established esports title
Shardbound,2017,Collectible Card Game,0.0,0,0,Global,Low,Established esports title
The Elder Scrolls: Legends,2017,Collectible Card Game,5000.0,3,1,Global,Low,Established esports title
Artifact Foundry,2020,Collectible Card Game,1174.5,21,12,Global,Low,Established esports title
Mythgard,2019,Collectible Card Game,3000.0,9,3,Global,Low,Established esports title
Magic: The Gathering Online,2002,Collectible Card Game,1818000.0,173,16,Global,Medium,Established esports title
Catherine,2011,Puzzle Game,1545.0,11,7,Global,Low,Established esports title
Puyo Puyo Champions,2019,Puzzle Game,2482.3,14,5,Global,Low,Established esports title
Wise Star 2,2008,Puzzle Game,12000.0,3,1,Global,Low,Established esports title
Twinkle Star Sprites,1996,Puzzle Game,150.0,4,2,Global,Low,Established esports title
Jstris,2014,Puzzle Game,275.0,12,2,Global,Low,Established esports title
Catherine: Full Body,2019,Puzzle Game,185.0,3,1,Global,Low,Established esports title
Spellbreak,2020,Battle Royale,50000.0,42,1,Global,Low,Established esports title
PLAYERUNKNOWN’S BATTLEGROUNDS,2017,Battle Royale,64200450.19,3967,631,Global,High,Very large esports prize pool history
Fall Guys,2020,Battle Royale,340273.83,250,7,Global,Low,Established esports title
Apex Legends Mobile,2022,Battle Royale,0.0,0,0,Global,Low,Established esports title
Farlight 84,2023,Battle Royale,0.0,0,0,Global,Low,Established esports title
Fortnite,2017,Battle Royale,191012698.69,9535,2291,Global,High,Very large esports prize pool history
Gears 5,2019,Third-Person Shooter,2320920.0,163,112,Global,Medium,Established esports title
Gears of War,2006,Third-Person Shooter,252195.57,33,18,Global,Low,Established esports title
Rogue Company,2020,Third-Person Shooter,50000.0,48,2,Global,Low,Established esports title
Mobile Suit Gundam: Extreme Vs Maxi Boost ON,2016,Third-Person Shooter,420.0,12,2,Global,Low,Established esports title
Knockout City,2021,Third-Person Shooter,0.0,0,0,Global,Low,Established esports title
PARAVOX,2024,Third-Person Shooter,0.0,0,0,Global,Low,Established esports title
Guitar Hero 5,2009,Music / Rhythm Game,10500.0,3,1,Global,Low,Established esports title
Guitar Hero III: Legends of Rock,2007,Music / Rhythm Game,19000.0,8,2,Global,Low,Established esports title
Groove Gunner,2020,Music / Rhythm Game,0.0,0,0,Global,Low,Established esports title
osu!,2007,Music / Rhythm Game,274092.83,1059,251,Global,Low,Established esports title
Guitar Hero: World Tour,2008,Music / Rhythm Game,0.0,0,0,Global,Low,Established esports title
